userName,review,at,rating,date,bank,source
Melkamu Jida Nemo,malkaamuu Jiidhaa Namoo,2025-05-30 12:08:04,5,2025-05-30,CBE,Google Play
Amanuel Habtamu,lower system everything,2025-05-30 10:45:05,3,2025-05-30,CBE,Google Play
Daniel Dere Deffecho,Nice!,2025-05-30 08:55:13,5,2025-05-30,CBE,Google Play
Mulugeta Abebe,Keep it up My CBE,2025-05-29 06:38:37,5,2025-05-29,CBE,Google Play
Haider Sadik,yes good,2025-05-28 12:56:18,5,2025-05-28,CBE,Google Play
amha habteyes,"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",2025-05-27 20:47:06,4,2025-05-27,CBE,Google Play
Melese Mekonnen Taf,i like everything of this app,2025-05-27 18:34:01,5,2025-05-27,CBE,Google Play
Zedy Muhammed,good,2025-05-27 14:48:15,5,2025-05-27,CBE,Google Play
Umi Abi,🤬🤬🤬🤬 network 🛜,2025-05-26 14:59:50,1,2025-05-26,CBE,Google Play
Abebaw,Best,2025-05-26 12:22:54,5,2025-05-26,CBE,Google Play
Yasin Nurye,CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,2025-05-26 10:43:02,5,2025-05-26,CBE,Google Play
Bizuayehu Yeshi Asefa,nice,2025-05-26 10:26:26,5,2025-05-26,CBE,Google Play
Epheram Teklae,good job,2025-05-26 09:31:42,5,2025-05-26,CBE,Google Play
Mahamadrauf Mahamadrauf,Good,2025-05-25 16:44:05,5,2025-05-25,CBE,Google Play
Feysel Awel,it's awesome!!,2025-05-25 15:13:12,5,2025-05-25,CBE,Google Play
Sadiik Abdo,best,2025-05-25 14:34:23,5,2025-05-25,CBE,Google Play
andamlak bada,thankyou every one,2025-05-25 11:10:07,5,2025-05-25,CBE,Google Play
buli bekele,best app,2025-05-25 10:35:41,5,2025-05-25,CBE,Google Play
Safiyya Husein,Ronaldo 🇵🇹 🥇,2025-05-25 09:56:24,5,2025-05-25,CBE,Google Play
Murteessa Abdurman,"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",2025-05-25 08:51:45,5,2025-05-25,CBE,Google Play
Olyad Dagnie,"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2025-05-25 07:54:25,2,2025-05-25,CBE,Google Play
Tariku Tefera,mortuary app,2025-05-25 06:23:34,5,2025-05-25,CBE,Google Play
Ayichew Welelaw,it is smart app but it has stoped after some period of time on my device with out any reason .,2025-05-25 04:30:44,5,2025-05-25,CBE,Google Play
Lencho Abdurahman,amazing app I am used this app for one year,2025-05-24 20:26:43,4,2025-05-24,CBE,Google Play
Burqa Tube,👍,2025-05-24 15:36:13,5,2025-05-24,CBE,Google Play
Zelalem Abenet,good app,2025-05-24 14:06:49,5,2025-05-24,CBE,Google Play
