userName,review,at,rating,date,bank,source
John,very good,2025-04-03 05:50:56,5,2025-04-03,BOA,Google Play
Raiis Rashaad,thank you,2025-04-02 00:33:00,5,2025-04-02,BOA,Google Play
Abel Getachew,it doesn't work period z slowest mobile banking ever i would rather use *815#,2025-03-31 21:27:34,1,2025-03-31,BOA,Google Play
Hone Boy,"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",2025-03-31 20:55:06,1,2025-03-31,BOA,Google Play
Aklilu Keshura,good application,2025-03-30 18:56:40,5,2025-03-30,BOA,Google Play
Yohannes Assefa,this version is not working for me I cannot even buy card. I cannot send money,2025-03-30 12:27:26,1,2025-03-30,BOA,Google Play
Nahom Tesfamikael,"It can't actively on initialization, it says incorrect OTP getting the exact OTP",2025-03-29 11:29:38,1,2025-03-29,BOA,Google Play
Michele Graffi,always problematic hardly works,2025-03-26 10:28:25,1,2025-03-26,BOA,Google Play
Anteneh Mesfin,considering the fact the bank is huge this app really bad you could do better,2025-03-25 15:33:59,1,2025-03-25,BOA,Google Play
Agwes Agwes,best app,2025-03-25 10:15:12,5,2025-03-25,BOA,Google Play
Sisey Tesema,very good,2025-03-25 09:56:42,5,2025-03-25,BOA,Google Play
Monte Qamer,"worst app and Bank ever u be ashamed, scammer",2025-03-24 14:00:42,1,2025-03-24,BOA,Google Play
Cadaawe Xuseen,great BoA,2025-03-22 09:46:56,5,2025-03-22,BOA,Google Play
Aklays embay,best,2025-03-21 09:32:05,5,2025-03-21,BOA,Google Play
Rakeb Mulugeta,i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,2025-03-21 07:49:11,1,2025-03-21,BOA,Google Play
Muhammad Hamed,good,2025-03-21 03:06:10,5,2025-03-21,BOA,Google Play
Miky Mal,good,2025-03-19 18:15:38,5,2025-03-19,BOA,Google Play
Mickey Justin,there is no speed,2025-03-19 16:12:01,1,2025-03-19,BOA,Google Play
Noah Daniel,"For anyone who wants to download it, just don't!!!",2025-03-19 13:02:57,1,2025-03-19,BOA,Google Play
Ararsa Dabale,wonderful,2025-03-19 10:58:10,5,2025-03-19,BOA,Google Play
Usman Umer,all worck,2025-03-19 09:55:57,5,2025-03-19,BOA,Google Play
Kassahun Asres Yimer,Best app,2025-03-16 22:23:13,5,2025-03-16,BOA,Google Play
Muluken Sewunet,Loved it,2025-03-14 14:57:04,5,2025-03-14,BOA,Google Play
Abdu Mille,Wow,2025-03-14 00:37:53,1,2025-03-14,BOA,Google Play
Betanoise Shi,"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",2025-03-12 19:41:25,1,2025-03-12,BOA,Google Play
